titulo,dataAssistido,anoDeLancamento,idioma,diretor,genero,duracao,plataforma,assistidoLegendado,linkIMDB,linkImagem,descricao,orcamento
Son of Batman,17/05/2021,2014,Inglês,Ethan Spaulding,"Animação, Ação, Aventura",74,,,https://www.imdb.com/title/tt3139072,https://m.media-amazon.com/images/M/MV5BYjdkZWFhNzctYmNhNy00NGM5LTg0Y2YtZWM4NmU2MWQ3ODVkXkEyXkFqcGdeQXVyNTA0OTU0OTQ@._V1_.jpg,"Batman learns he has a violent, unruly pre-teen son, secretly raised by the terrorist group the League of Assassins.",
Batman: Assault on Arkham,17/05/2021,2014,Inglês,"Jay Oliva, Ethan Spaulding","Animação, Ação, Aventura",76,,,https://www.imdb.com/title/tt3139086,https://m.media-amazon.com/images/M/MV5BZDU1ZGRiY2YtYmZjMi00ZDQwLWJjMWMtNzUwNDMwYjQ4ZTVhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,Batman works desperately to find a bomb planted by the Joker while Amanda Waller hires her newly formed Suicide Squad to break into Arkham Asylum to recover vital information stolen by the Riddler.,
O Animal Cordial,17/05/2021,2017,Português (Brasileiro),Gabriela Amaral Almeida,"Horror, Thriller",98,,,https://www.imdb.com/title/tt5126274,https://m.media-amazon.com/images/M/MV5BZDA1YTg3MjMtNDdlNC00NDQ4LTk4MmYtMDBjMjM3ZjAyOTZiXkEyXkFqcGdeQXVyNTU3MTY2Mg@@._V1_.jpg,"The tense survival tale is set over several late-night hours in a sparsely-peopled Brazilian restaurant. When an armed robbery interrupts an already-terse dynamic between boss and customer, a group of virtual strangers are tossed into a frantic fight for their lives.",
Cabras da Peste,17/05/2021,2021,Português (Brasileiro),Vitor Brandt,"Ação, Comédia, Crime",97,,,https://www.imdb.com/title/tt14111726,https://m.media-amazon.com/images/M/MV5BYzRmOTYyZDgtZWJmMy00OTI1LWExMjgtZjRmYTJiNzgwMGIwXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_.jpg,"Two hapless cops find themselves in over their heads as they cross paths with dangerous criminals while searching for Celestina, a beloved goat mascot.",
Batman vs. Robin,18/05/2021,2015,Inglês,Jay Oliva,"Animação, Ação, Aventura",80,,,https://www.imdb.com/title/tt4324274,https://m.media-amazon.com/images/M/MV5BMjI0ODY2MDE5Nl5BMl5BanBnXkFtZTgwMTk0NTcyNTE@._V1_.jpg,"While Damian Wayne struggles to cope with Batman's no-killing rule, he soon starts to believe that his destiny lies within a secret society known as, The Court of Owls.",
"Socorro, Virei uma Garota",18/05/2021,2019,Português (Brasileiro),Leandro Neri,"Comédia, Fantasia",110,,,https://www.imdb.com/title/tt10839434,https://m.media-amazon.com/images/M/MV5BMDFkM2U0MTUtM2Q4ZS00NjU1LTlhNjctNjU5MGY1M2VhNTM1XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,Júlio wanted to be the most popular person in school but ends up getting more than what he wished for.,
Batman Unlimited: Animal Instincts,21/05/2021,2015,Inglês,Butch Lukic,"Animação, Ação, Aventura",78,,,https://www.imdb.com/title/tt4437640,https://m.media-amazon.com/images/M/MV5BNDc2ZTA0NjgtYTU3ZC00NGJiLTlkZDQtY2VjNGEzMjM2ODZiXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_.jpg,"Batman, with the help of the Flash, Green Arrow, Nightwing, and Red Robin, has to try and get to the bottom of the mysterious robotic animals attacking Gotham.",
Batman Unlimited: Monster Mayhem,22/05/2021,2015,Inglês,Butch Lukic,"Animação, Ação, Aventura",81,,,https://www.imdb.com/title/tt4729754,https://m.media-amazon.com/images/M/MV5BZTFlMGFmNWUtNzExNy00ZWY2LWIxN2ItODFlYTg5YzEzYmU3XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_.jpg,"The Joker is aided in his Halloween quest to render modern technology useless and take over Gotham City by Solomon Grundy, Silver Banshee, Clayface and Scarecrow.",
Marriage Story,22/05/2021,2019,Inglês,Noah Baumbach,"Comédia, Drama, Romance",137,,,https://www.imdb.com/title/tt7653254,https://m.media-amazon.com/images/M/MV5BZGVmY2RjNDgtMTc3Yy00YmY0LTgwODItYzBjNWJhNTRlYjdkXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_.jpg,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,18600000
"Viajo Porque Preciso, Volto Porque Te Amo",26/05/2021,2009,Português (Brasileiro),"Karim Ainouz, Marcelo Gomes",Drama,75,,,https://www.imdb.com/title/tt1500761,https://m.media-amazon.com/images/M/MV5BODJkOTYzMTEtYTY4Yi00MjI5LTlhZmQtNzU5YThlNDAwZDBjXkEyXkFqcGdeQXVyMTY2MzYyNzA@._V1_.jpg,"A geologist is sent to an isolated region in the Northeast of Brazil to survey water sources, but begins to feel a a sense of abandonment and loneliness.",
M8 - Quando a Morte Socorre a Vida,28/05/2021,2020,Português (Brasileiro),Jeferson De,Drama,84,,,https://www.imdb.com/title/tt11321572,https://m.media-amazon.com/images/M/MV5BOWFhY2JkYmItM2U0MC00NjM5LTk4N2UtYTY2MTZmNmEzMTQyXkEyXkFqcGdeQXVyMTY2MzYyNzA@._V1_.jpg,Maurício joined the Federal University of Medicine. In his first anatomy class he meets M8.,5000
Batman Unlimited: Mechs vs. Mutants,13/06/2021,2016,Inglês,Curt Geda,"Animação, Ação, Ficção científica",72,,,https://www.imdb.com/title/tt5896146,https://m.media-amazon.com/images/M/MV5BZWVhZTNmZTQtZTgwYS00YWE5LThjMjktMjFkNjEwYzdkODA2XkEyXkFqcGdeQXVyNDM1NDAyNDk@._V1_.jpg,"After freeing helpers in Arkham, Freeze and Penguin freeze down Gotham City and attack with huge monsters. Batman responds, helped by other heroes.",
Batman: Bad Blood,14/06/2021,2016,Inglês,Jay Oliva,"Animação, Ação, Aventura",72,,,https://www.imdb.com/title/tt4870838,https://m.media-amazon.com/images/M/MV5BZWZiZmZhYmQtYjVkZi00MWIzLWEzM2MtYzhkNjliNzc2MTMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,"Bruce Wayne is missing. Alfred covers for him while Nightwing and Robin patrol Gotham City in his stead. And a new player, Batwoman, investigates Batman's disappearance.",3500000
O Candidato Honesto,22/06/2021,2014,Português (Brasileiro),Roberto Santucci,Comédia,110,,,https://www.imdb.com/title/tt4083076,https://m.media-amazon.com/images/M/MV5BZjI1MmRjM2ItMjkwNS00YWVkLTgyNWYtMjE0ZjhkNTExNWQ0XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,John is a corrupt politician wanting to be the Brazil's next president. He receives an enchantment from his grandmother and can't lie anymore. Now he must win the presidential elections telling only the truth.,
Carandiru,29/06/2021,2003,Português (Brasileiro),Hector Babenco,"Drama, Crime",145,,,https://www.imdb.com/title/tt0293007,https://m.media-amazon.com/images/M/MV5BMmQzY2RmYzMtYzRiOS00ZTMzLTgxMGYtZjRkNzAzYjA2MmVkXkEyXkFqcGdeQXVyNDc2MTA2NDg@._V1_.jpg,"Brazilian MD Drauzio Varella starts AIDS prevention in Brazil's largest prison, Carandiru in São Paulo, where the population is nearly double its 4,000 maximum. Doc learns from experience and the tragic stories of hideous crimes which landed scum there and passionate dramas adding otherwise decent people. Just when he believes to leave the prisoners happy with a soccer tournament, a silly clothing-line argument kick-starts a politically opportune revolt repression.",12000000
BlacKkKlansman,29/06/2021,2018,Inglês,Spike Lee,"Biografia, Comédia, Crime",135,,,https://www.imdb.com/title/tt7349662,https://m.media-amazon.com/images/M/MV5BMjUyOTE1NjI0OF5BMl5BanBnXkFtZTgwMTM4ODQ5NTM@._V1_.jpg,"Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",15000000
Meu Nome Não é Johnny,01/07/2021,2008,Português (Brasileiro),Mauro Lima,"Biografia, Crime, Drama",124,,,https://www.imdb.com/title/tt1092016,https://m.media-amazon.com/images/M/MV5BMjMzNTAxNjk4NF5BMl5BanBnXkFtZTcwNjQ3NDQ2OA@@._V1_.jpg,"The true story of João Guilherme Estrella (""Johnny""), a young middle-class bon vivant who became a big-time cocaine dealer in Rio de Janeiro in the early 1990s.",6000000
Good Burger,14/07/2021,1997,Inglês,Brian Robbins,"Comédia, Família",95,,,https://www.imdb.com/title/tt0119215,https://m.media-amazon.com/images/M/MV5BMjJmOTYwZmMtMWQ3Ni00YzJiLThhNWEtZjU1MGU3ZjEwMDI2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"A dim-witted teenager and his new coworker try to save the old burger joint they work for from failing after the opening of a brand new burger restaurant across the street, which's planning to put them out of business.",9000000
Penguins of Madagascar,14/07/2021,2014,Inglês,"Eric Darnell, Simon J. Smith","Animação, Aventura, Comédia",92,,,https://www.imdb.com/title/tt1911658,https://m.media-amazon.com/images/M/MV5BMTEyMDg4MDU4MjdeQTJeQWpwZ15BbWU4MDQyOTc3MjIx._V1_.jpg,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",132000000
Até que a Sorte nos Separe,16/07/2021,2012,Português (Brasileiro),Roberto Santucci,Comédia,104,,,https://www.imdb.com/title/tt2332518,https://m.media-amazon.com/images/M/MV5BMTk1Mjc2OTk0M15BMl5BanBnXkFtZTgwMzEzNTE4MTE@._V1_.jpg,"Tino and Jane, a couple from Rio, suddenly become millionaires after winning the lottery. 16 years later they have two children, but Tino is trying to hide from Jane that they face bankruptcy.",
Até que a Sorte nos Separe 2,16/07/2021,2013,Português (Brasileiro),Roberto Santucci,Comédia,102,,,https://www.imdb.com/title/tt3148528,https://m.media-amazon.com/images/M/MV5BMTQ1ODAyNzMxOF5BMl5BanBnXkFtZTgwNDEzNTE4MTE@._V1_.jpg,A man loses everything. Again.,7000000
Até que a Sorte nos Separe 3: A Falência Final,17/07/2021,2015,Português (Brasileiro),"Marcelo Antunez, Roberto Santucci",Comédia,106,,,https://www.imdb.com/title/tt4491640,https://m.media-amazon.com/images/M/MV5BZWI1NTA4YmQtNWQ3NS00YmQxLThlMjYtM2YxMzcxZGViN2FmXkEyXkFqcGdeQXVyMjk5NzE4OTc@._V1_.jpg,"After losing everything for a second time in Las Vegas, Tino and his family's fate is shaken again when he is ran over by the son of Brazil's richest man.",
A Busca,17/07/2021,2012,Português (Brasileiro),Luciano Moura,"Drama, Thriller",96,,,https://www.imdb.com/title/tt2125425,https://m.media-amazon.com/images/M/MV5BMDczOTQxYmEtNDExNi00Zjg4LTg4YzEtZmE0ZGJkMzc3NmRiXkEyXkFqcGdeQXVyMzE5OTgzNjU@._V1_.jpg,A man who has put his career ahead of everything else in life learns the value of family when his son goes missing.,
Let's Go to Prison,17/07/2021,2006,Inglês,Bob Odenkirk,"Comédia, Crime",84,,,https://www.imdb.com/title/tt0454987,https://m.media-amazon.com/images/M/MV5BMTQ2ODkxNDE1N15BMl5BanBnXkFtZTcwOTMzMjkzMQ@@._V1_.jpg,"When a career criminal's plan for revenge is thwarted by unlikely circumstances, he puts his intended victim's son in his place by putting him in prison...and then joining him.",
Now You See Me,18/07/2021,2013,Inglês,Louis Leterrier,"Crime, Mistério, Thriller",115,,,https://www.imdb.com/title/tt1670345,https://m.media-amazon.com/images/M/MV5BMTY0NDY3MDMxN15BMl5BanBnXkFtZTcwOTM5NzMzOQ@@._V1_.jpg,"An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",75000000
Now You See Me 2,19/07/2021,2016,Inglês,Jon M. Chu,"Ação, Aventura, Comédia",129,,,https://www.imdb.com/title/tt3110958,https://m.media-amazon.com/images/M/MV5BYjhlNDljNTgtZjc4My00NmZmLTk2YzAtYWE5MDYwYjM4MTkzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",90000000
The Mitchells vs. The Machines,20/07/2021,2021,Inglês,"Michael Rianda, Jeff Rowe","Animação, Aventura, Comédia",113,,,https://www.imdb.com/title/tt7979580,https://m.media-amazon.com/images/M/MV5BOTFjNjc0MTgtYmYwZi00NDcyLTlmMmYtNmJkZTI4MWJjYjM5XkEyXkFqcGdeQXVyMTA5ODEyNTc5._V1_.jpg,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",
Luccas Neto em: Perdidos na Noite de Natal,21/07/2021,2018,Português (Brasileiro),Lucas Margutti,"Comédia, Família",41,,,https://www.imdb.com/title/tt12325244,https://m.media-amazon.com/images/M/MV5BYjMxMWRmYTQtMzhhMC00MGNlLTg0MWQtN2EyZDQ1ZWZiMjk2XkEyXkFqcGdeQXVyNjczMTk3MDI@._V1_.jpg,"On Christmas Eve, Luccas and his sister Gi, marveling at the decoration of the mall, end up losing their parents. But what would be a fun night becomes dangerous when they discover a pair of thieves. And now who's going to save Christmas? Lot of fun.",10
Uma Professora Muito Maluquinha,24/07/2021,2011,Português (Brasileiro),"André Alves Pinto, César Rodrigues","Comédia, Família, Fantasia",90,,,https://www.imdb.com/title/tt1401681,https://m.media-amazon.com/images/M/MV5BMzMwYTVkYjgtMTA3ZC00ZGExLThhZTAtZTZiYjgwZWFiZDQyXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,"After studying in the capital, the teacher Cate returns to her small town in Minas Gerais to teach at primary school in the early 40's. Her way of teaching students delights and irritates the other teachers. She just wants to give students something essential to education: enthusiasm.",
Minha Mãe é uma Peça,29/07/2021,2013,Português (Brasileiro),André Pellenz,Comédia,93,,,https://www.imdb.com/title/tt2464018,https://m.media-amazon.com/images/M/MV5BYWE3YWM5NDQtN2ZlZi00ZWY0LTg4M2QtMGNjMjEwNzAzY2M2XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,"After another spat with her kids, Dona Hermínia decides to take some time off from them and hides away in her aunt's house, where she reminisces about her kids in an age when they still needed her.",5500000
Alemão,30/07/2021,2014,Português (Brasileiro),José Eduardo Belmonte,"Ação, Drama, História",112,,,https://www.imdb.com/title/tt3527550,https://m.media-amazon.com/images/M/MV5BMTgxNTc1Nzk1OV5BMl5BanBnXkFtZTgwODU3NjA2NDE@._V1_.jpg,"In 2007, the Rio de Janeiro government is preparing an operation with the police and army to invade the Complexo do Alemão, one of the largest and more dangerous slums of the South America, as part of the UPP Program of the State to retrieve slums controlled by drug dealers. The delivery boy Pixixo is bringing classified documents with the identity of the undercover agents that are working in Alemão to deliver to the Chief of Police Valadares, but he is stopped in a checkpoint of the drug dealers. Pixixo flees, but the criminals that take his mail. Soon the criminals under the command of the drug lord Playboy jam the cellular and the Internet to hunt down the undercover agents Samuel, Danilo, Carlinhos and Branco that hide in their base in the pizzeria of the also undercover agent Doca. Without means of communication, there is tension and suspicion among the five men that are trapped inside the pizzeria. The situation gets more complicated when the cleaning woman Mariana comes to the pizzeria to receive her payment. Will the police agents succeed to escape?",1500000
Estômago,30/07/2021,2007,Português (Brasileiro),Marcos Jorge,"Comédia, Drama",113,,,https://www.imdb.com/title/tt1039960,https://m.media-amazon.com/images/M/MV5BMzI0MDY1YWYtN2RiNS00MzhkLWEyNjMtNTNiYWZiNzU1NTdhXkEyXkFqcGdeQXVyMjY4MTc1MDM@._V1_.jpg,"In the great restaurant of life, there are those who eat and those who get eaten. Raimundo Nonato finds an alternative way, a life of his own: he cooks in order to survive and find a place in society. He arrives in town without a penny in his pockets and starts working as help in a decadent bar, a nasty place, lost amid the urban desert. He sleeps in the storage room on the back, and under a cold neon light learns how to fry ""pastel"" and ""coxinhas"", outdoing his ""master"", Zulmiro, the owner of the bar. Nonato is ignorant, but talented. He knows how to work the kitchen, soon others realize it too. The first one to notice him, is Iria, a prostitute, who doesn't know how to cook but loves to eat and starts an affair with him. Then, Giovanni, the owner of the Boccaccio (an Italian restaurant in the neighborhood), offers Nonato a job as his apprentice. A turn of events results in Nonato spending time in prison. For the prisoners and their boss, the violent Bujiù, Nonato is a savior; in fact soon their meager meals turn to a feast of exotic dishes orchestrated by Nonato's magic. As a consequence of this, Nonato is given the following the nickname, a well suited one indeed: Rosemary.",800000
Grown Ups,01/08/2021,2010,Inglês,Dennis Dugan,Comédia,102,,,https://www.imdb.com/title/tt1375670,https://m.media-amazon.com/images/M/MV5BMjA0ODYwNzU5Nl5BMl5BanBnXkFtZTcwNTI1MTgxMw@@._V1_.jpg,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",80000000
Grown Ups 2,01/08/2021,2013,Inglês,Dennis Dugan,Comédia,101,,,https://www.imdb.com/title/tt2191701,https://m.media-amazon.com/images/M/MV5BNTZkZDhjZTEtZjA5MC00MDU2LTk3NDItNzA2YzQ4Y2Q5NjZhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and four hundred costumed party crashers sometimes crazy follows you.",80000000
Um Suburbano Sortudo,01/08/2021,2016,Português (Brasileiro),"Roberto Santucci, Marcelo Antunez",Comédia,100,,,https://www.imdb.com/title/tt5529392,https://m.media-amazon.com/images/M/MV5BZTM2OWEwNWMtZjcxMS00ZTA4LTg0NmUtNGZkZGVmNDk1MjMzXkEyXkFqcGdeQXVyNDczMjU4Ng@@._V1_.jpg,"A man wins a lot of money, from his dead father.",7
Minha Mãe é uma Peça 2,14/08/2021,2016,Português (Brasileiro),César Rodrigues,Comédia,88,,,https://www.imdb.com/title/tt3212812,https://m.media-amazon.com/images/M/MV5BNmVjNGNmZDItZmQ5OC00M2EyLWFkMWYtNTU5ZDdhZjJiYjIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,"After triumphing with her new TV show, Dona Hermínia must deal with the problems of her adult offspring as she realizes that they are leaving home. She must face the struggles of being a grandmother and welcoming her sister back to Brazil after a long time away.",8000000
Beckett,15/08/2021,2021,Inglês,Ferdinando Cito Filomarino,"Ação, Crime, Drama",108,,,https://www.imdb.com/title/tt10230994,https://m.media-amazon.com/images/M/MV5BZTFlYzU5ZDgtZDYzZi00MTE1LThjNWQtZjdiMTgxZmU1ZDE2XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_.jpg,"Following a tragic car accident in Greece, an American tourist finds himself at the center of a dangerous political conspiracy and on the run for his life.",
Como Hackear Seu Chefe,18/08/2021,2021,Português (Brasileiro),Fabrício Bittar,Comédia,85,,,https://www.imdb.com/title/tt14623808,https://m.media-amazon.com/images/M/MV5BZWZhMjY5YmQtMmJmNC00YWFiLWExYzEtYTczODM4YjdjMjYxXkEyXkFqcGdeQXVyMzMyNjg0MTc@._V1_.jpg,"Victor accidentally sends a compromising email to his nagging boss. With the help of his office crush and a clueless friend, he'll try to save his job while having to deal with a rook hacker the porn industry, a children's online game and Smiley, the company mascot.",
Minha Mãe é uma Peça 3,19/08/2021,2019,Português (Brasileiro),Susana Garcia,Comédia,111,,,https://www.imdb.com/title/tt10611372,https://m.media-amazon.com/images/M/MV5BMzAxYzQ3Y2MtMzM5Yy00NWUwLTg2M2EtOWY5MmNkNDhlMWNhXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,Dona Hermínia now has to deal with her gay son getting married and her daughter being pregnant.,
The Girl Next Door,22/08/2021,2004,Inglês,Luke Greenfield,"Comédia, Drama, Romance",109,,,https://www.imdb.com/title/tt0265208,https://m.media-amazon.com/images/M/MV5BMTQ0ODIyMzE1N15BMl5BanBnXkFtZTcwODEwODczMw@@._V1_.jpg,A teenager's dreams come true when a former porn star moves in next door and they fall in love.,25000000
The Secret Life of Pets,25/08/2021,2016,Inglês,Chris Renaud,"Animação, Aventura, Comédia",87,,,https://www.imdb.com/title/tt2709768,https://m.media-amazon.com/images/M/MV5BMjIzMzA1OTkzNV5BMl5BanBnXkFtZTgwODE3MjM4NzE@._V1_.jpg,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",75000000
300,28/08/2021,2006,Inglês,Zack Snyder,"Ação, Drama",117,,,https://www.imdb.com/title/tt0416449,https://m.media-amazon.com/images/M/MV5BNWMxYTZlOTUtZDExMi00YzZmLTkwYTMtZmM2MmRjZmQ3OGY4XkEyXkFqcGdeQXVyMTAwMzUyMzUy._V1_.jpg,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,65000000
"Gostosas, Lindas & Sexies",28/08/2021,2017,Português (Brasileiro),Ernani Nunes,Comédia,140,,,https://www.imdb.com/title/tt5649480,https://m.media-amazon.com/images/M/MV5BMjZiZWZiNDUtZTUzOS00ODcwLWFmMjgtMzQ1ZTcxNGM4MWFiXkEyXkFqcGdeQXVyNDA5MTI0MDg@._V1_.jpg,"Four great and inseparable friends live in Rio de Janeiro: Beatriz, Tânia, Ivone and Marilu. They wear plus size clothes and face all the romantic and professional adventures and setbacks that four young women can face in the capital of Rio, almost always in a good mood.",600000000
Totalmente Inocentes,01/09/2021,2012,Português (Brasileiro),Rodrigo Bittencourt,Comédia,90,,,https://www.imdb.com/title/tt2066141,https://m.media-amazon.com/images/M/MV5BZmY3NTJjYmYtYTZiYy00MjYxLTkyZDAtNDhlZjQ5YzIzOWJkXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,"The community of the DDC is at war. White boy Morro (Fábio Porchat) and transvestite demoness Blonde (Kiko Mascarenhas) vying for power in the community. Oblivious to this, Of Faith (Luke D 'Jesus) believes it needs to become the head of the hill to win the love of Gildinha (Mariana Rios), his muse. Everything gets worse when the bumbling reporter Vanderlei (Fábio Assunção) forges a cover that will give the talk. The story also brings Felipe Neto as a narrator timely interventions.",
Cars,06/09/2021,2006,Inglês,John Lasseter,"Animação, Aventura, Comédia",117,,,https://www.imdb.com/title/tt0317219,https://m.media-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_.jpg,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",120000000
My Neighbor Totoro,06/09/2021,1988,Japonês,Hayao Miyazaki,"Animação, Família, Fantasia",86,,,https://www.imdb.com/title/tt0096283,https://m.media-amazon.com/images/M/MV5BYzJjMTYyMjQtZDI0My00ZjE2LTkyNGYtOTllNGQxNDMyZjE0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",3700000
Alvin and the Chipmunks,08/09/2021,2007,Inglês,Tim Hill,"Animação, Aventura, Comédia",92,,,https://www.imdb.com/title/tt0952640,https://m.media-amazon.com/images/M/MV5BMjdmNWY4MjItMjBiMi00MWNiLWI0ZjctYzBjZmEzOGRmNTc5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.,60000000
Cars 2,09/09/2021,2011,Inglês,John Lasseter,"Animação, Aventura, Comédia",106,,,https://www.imdb.com/title/tt1216475,https://m.media-amazon.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_.jpg,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,200000000
Cars 3,09/09/2021,2017,Inglês,Brian Fee,"Animação, Aventura, Comédia",102,,,https://www.imdb.com/title/tt3606752,https://m.media-amazon.com/images/M/MV5BMTc0NzU2OTYyN15BMl5BanBnXkFtZTgwMTkwOTg2MTI@._V1_.jpg,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,175000000
Ethel & Ernest,12/09/2021,2016,Inglês,Roger Mainwood,"Animação, Drama, História",94,,,https://www.imdb.com/title/tt1725969,https://m.media-amazon.com/images/M/MV5BMTEzOTg2NWQtYjZmZC00NWQ5LTk0ZTQtMDFlNWNhNGU3N2U3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg,"The life and times of the parents of the hailed British graphic novelist, Raymond Briggs.",
O Candidato Honesto 2,18/09/2021,2018,Português (Brasileiro),Roberto Santucci,Comédia,104,,,https://www.imdb.com/title/tt8837044,https://m.media-amazon.com/images/M/MV5BODgyM2Y0MDUtMmQwNy00OGZkLTgzZWUtM2VjMjIwOTE1MGY1XkEyXkFqcGdeQXVyOTE0NTUzMTU@._V1_.jpg,"Brazilian politician João Ernesto (Leandro Hassum) surrenders to justice and is arrested for corruption, before attempting to overturn with sincerity and real proposals.",
Dona Flor e Seus Dois Maridos,18/09/2021,2017,Português (Brasileiro),Pedro Vasconcellos,"Comédia, Romance",108,,,https://www.imdb.com/title/tt7901878,https://m.media-amazon.com/images/M/MV5BY2MzMGU1MTMtMGVkYi00NjMzLTg1NmItNWYwYjZlNzRkNDIwXkEyXkFqcGdeQXVyMjEzNjk1OTc@._V1_.jpg,"Dona Flor marries Vadinho, who is very handsome and passionate, but does not offer him much. She supports the family by cooking for her neighbors, but the husband bets most of the money. Vadinho dies suddenly and Dona Flor begins to miss the wedding. She marries the doctor Teodoro Madureira, but he is the opposite of Vadinho. While Dona Flor is married to Theodore, the ghost of her late husband appears.",7000000
America: The Motion Picture,19/09/2021,2021,Inglês,Matt Thompson,"Animação, Ação, Aventura",98,,,https://www.imdb.com/title/tt6733874,https://m.media-amazon.com/images/M/MV5BZDk0YmYwZDAtNGMzNi00YWY1LThhOTctNWRiMGY2YzZmMjNiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,
Confia em Mim,23/09/2021,2014,Português (Brasileiro),Michel Tikhomiroff,Drama,85,,,https://www.imdb.com/title/tt2363349,https://m.media-amazon.com/images/M/MV5BMjc4ZDU5MjktZTcyMS00OTBmLWJjYzUtMjZhM2E1OWQwMmQ3XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,"Mari is a talented but insecure chef. She thinks she has found the man of her life once she meets Caio. However, things are not always what they seem to be.",
The Big Short,23/09/2021,2015,Inglês,Adam McKay,"Biografia, Comédia, Drama",130,,,https://www.imdb.com/title/tt1596363,https://m.media-amazon.com/images/M/MV5BNDc4MThhN2EtZjMzNC00ZDJmLThiZTgtNThlY2UxZWMzNjdkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,"In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is.",28000000
The Intern,25/09/2021,2015,Inglês,Nancy Meyers,"Comédia, Drama",121,,,https://www.imdb.com/title/tt2361509,https://m.media-amazon.com/images/M/MV5BMTUyNjE5NjI5OF5BMl5BanBnXkFtZTgwNzYzMzU3NjE@._V1_.jpg,"Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",35000000
